Link No.,Link or Connector,Link Width (m),Lane No.,Start x,Start y,Start zOffset,End x,End y,End zOffset
1,link,10.5,3,26.93645679608514,-6.720865810038749,0.0,793.6120170687691,-5.393097996284291,0.0
2,link,10.5,3,792.3146095260373,12.835020144997163,0.0,26.441209749972707,10.168699181812212,0.0
3,link,10.5,3,-27.530347821090118,10.588381460191442,0.0,-374.09178759488066,5.011530705210902,0.0
4,link,10.5,3,-373.02953030821766,-15.171357741385322,0.0,-24.38606625256776,-7.300031247212772,0.0
5,link,10.5,3,13.111615966634787,28.444926448995815,0.0,4.783518839197171,723.4161336753707,0.0
6,link,10.5,3,-12.212597747410172,724.6058618364332,0.0,-10.512986088749443,25.226286870406952,0.0
7,link,10.5,3,-10.852908420481612,-24.41299613535314,0.0,-6.2639569420976215,-463.9325710650195,0.0
8,link,10.5,3,10.052314981045441,-465.4622215578141,0.0,12.070603825705092,-21.268714566830752,0.0
9,link,3.5,1,61.9924472697175,18.83192290761062,0.0,26.400454622788374,18.878237325309144,0.0
10,link,3.5,1,107.78678380067241,3.079922055142937,0.0,26.939656421498498,3.29747234745151,0.0
11,link,3.5,1,20.22279114647128,-62.18516563742933,0.0,21.79365722198841,-21.711038500997233,0.0
12,link,3.5,1,-85.28910062318721,-16.934704837245867,0.0,-23.942892512571916,-15.581389054037253,0.0
13,link,3.5,1,-181.99020555434848,-2.3588352525713816,0.0,-25.262640965521967,-0.04098985307278724,0.0
14,link,3.5,1,-18.963455255610654,56.107805805357955,0.0,-19.241766664716323,25.4170682790917,0.0
15,link,7.0,2,2.909092916084839,-108.3599419363403,0.0,0.8571720227088515,-22.342944675830687,0.0
16,link,7.0,2,-0.8988982814310713,127.568951135927,0.0,1.8157888454816886,25.446924904532708,0.0
17,link,10.5,3,-776.557501077418,-18.318872923950103,0.0,-402.83811247068127,-16.368842914371918,0.0
18,link,10.5,3,-404.6318778716935,3.564664485574129,0.0,-779.4803453396843,0.16417920302893796,0.0
19,link,3.5,1,-387.51786989247137,-238.95540071101254,0.0,-384.1186465751498,-28.840909409078947,0.0
20,link,3.5,1,-391.97935049645577,-28.62845795174637,0.0,-391.76689903912313,-239.8052065403429,0.0
